a,b,c
178.5,0.225542519038292,0.044998313739570264
179.0,0.22490759464626475,0.04396594215196156
179.5,0.22428623320944852,0.04235703250558151
180.0,0.22370782546521717,0.04134867197872038
180.5,0.22314256948276134,0.03992058297725702
181.0,0.22261229143755715,0.038948469367203684
181.5,0.22209454994716438,0.03767145857701493
182.0,0.22160555326610784,0.03674262779382497
182.5,0.2211283659171994,0.03559322451064982
183.0,0.22067502029950653,0.03471127466957392
183.5,0.22023270788494037,0.03367077470167758
184.0,0.21981035513453645,0.03283701631775704
184.5,0.21939825275754282,0.031890352685786036
185.0,0.2190030160542912,0.03110458195560243
185.5,0.21861726744129176,0.030239484294741305
186.0,0.21824590203693306,0.029500512320664453
186.5,0.21788329966643857,0.028706880203546746
187.0,0.21753307506229788,0.028012898561361847
187.5,0.21719093498942438,0.027282331609325146
188.0,0.21685954129777546,0.026631165569621237
188.5,0.21653560449371884,0.025956608464525563
189.0,0.2162210775526398,0.025345891910550998
189.5,0.21591343167111177,0.024721364004429695
190.0,0.21561409281733002,0.024148659261895206
190.5,0.21532110981018862,0.02356904688766508
191.0,0.21503551719442612,0.023031925604453087
191.5,0.21475580330539676,0.022492821199696835
192.0,0.21448271235165556,0.02198891764192733
192.5,0.21421506783399086,0.021486494083281148
193.0,0.21395339898663934,0.02101353892576758
193.5,0.21369678550242602,0.020544450541260688
194.0,0.2134455978099272,0.020100290926031317
194.5,0.21319911192834468,0.01966159486579454
195.0,0.21295758132469908,0.019244204868705015
195.5,0.21272043288573078,0.01883329812176585
196.0,0.21248783426822462,0.018440782600080398
196.5,0.21225932864592875,0.018055351120367543
197.0,0.21203502103347394,0.017685945073910962
197.5,0.21181454453698634,0.01732392234450861
198.0,0.21159795873756482,0.016975987316656442
198.5,0.211384966548111,0.016635520323421787
199.0,0.21117559487674578,0.016307538929086148
199.5,0.21096960104132476,0.01598695999268265
200.0,0.21076698871901567,0.015677529342652187
200.5,0.21056755781923853,0.01537533261663333
201.0,0.21037129575511032,0.015083157176578103
201.5,0.21017803594419013,0.014797978890313625
202.0,0.20998775465827582,0.014521863146686218
202.5,0.20980031182003245,0.014252464875174389
203.0,0.209615676310098,0.01399130605946619
203.5,0.20943372914121336,0.01373656045904222
204.0,0.2092544345326876,0.013489341495771358
204.5,0.20907769038687732,0.013248220063155418
205.0,0.2089034582344265,0.01301400284564268
205.5,0.20873164959762827,0.012785565349649426
206.0,0.20856222473036817,0.012563484403028385
206.5,0.20839510621995005,0.012346869709047326
207.0,0.1985850011151579,1.0625197320959556
207.5,0.17126188813032397,3.585755451270249
208.0,0.14336186889731622,3.767156621817367
208.5,0.11228678230428527,3.876858647570516
209.0,0.09074626027936677,3.783201133373377
209.5,0.07110470065448132,4.057181561564468
210.0,0.05349470686964541,4.101110173417066
210.5,0.03692355943217308,4.103957927959147
211.0,0.02216142238090078,4.195355104522889
211.5,0.008267282841899544,4.54121527757541
212.0,-0.00520075009319651,4.494406486252654
212.5,-0.01703409436246359,4.586337148895743
213.0,-0.02748512810734214,4.687753802588981
213.5,-0.03693226387945657,4.786431474613122
214.0,-0.045402457429945024,4.881377663807982
214.5,-0.05287421842578421,4.969961434448611
215.0,-0.060260044284845535,4.871287789544959
215.5,-0.032511895978048044,4.9784444483252415
216.0,-0.008922341003486257,5.169061235609538
216.5,0.01246612142562595,5.063013137385606
217.0,0.032093493560479795,4.7602502662351
217.5,0.05195878625688247,4.809488000010475
218.0,0.07190328350687498,4.523736581778467
218.5,0.09288057716646009,4.473715187708366
219.0,0.11484941124448007,4.439354928744395
219.5,0.13642224215951315,4.084620643932962
220.0,0.16027190253748338,4.181238536325401
220.5,0.18426071449566336,4.087974914152878
221.0,0.20800492875192297,3.7530845813442486
221.5,0.23432637704727485,3.844500678775157
222.0,0.2588058817220947,3.6321535050019484
222.5,0.2654347422578324,1.7419490982775663
223.0,0.26034771137217533,0.4195670522654885
223.5,0.2517096566312275,0.3351617612649829
224.0,0.24272090128867094,0.23253103811585454
224.5,0.23898706448031026,0.1723816542366658
225.0,0.23655257946561176,0.13969718744559317
225.5,0.23457099164791861,0.11735796093059259
226.0,0.2327823988930856,0.10398231869383841
226.5,0.2311833854817329,0.09151693827692228
227.0,0.22970951974458903,0.08354161136989598
227.5,0.22837457636288877,0.07552732649295461
228.0,0.22713834402073593,0.06999634368542493
228.5,0.22600933035868684,0.06430366011119669
229.0,0.22495877594975194,0.0600938388743976
229.5,0.2239921949703914,0.055773513572752585
230.0,0.223088465074167,0.05240123236785984
230.5,0.22225134871110186,0.048984392295117155
231.0,0.22146511019556475,0.04620895642091856
231.5,0.22073234408630424,0.04355742538642295
